CUR,idconcatenado,coordinador
742,202-SECCION:AEROPUERTO DE HUATULCO-ADUANA,LILI
743,231-PRINCIPAL-ADUANA,LILI
744,261-SECCION:AEROPUERTO OAXACA-ADUANA,LILI
745,319-SECCION:AEROPUERTO PTO.ESCONDI-ADUANA,LILI
746,458-GARITA DE DZIUCHE-ADUANA,ELIZABETH
747,482-GARITA DE CAOBAS-ADUANA,ELIZABETH
748,2141-TERMINAL MARITIMA-ADUANA,ELIZABETH
749,2108-BODEGA:SUB LOPEZ KM 2.5 -ADUANA,ELIZABETH
750,228-PRINCIPAL-ADUANA,ELIZABETH
751,459-AEROPUERTO CHETUMAL-ADUANA,ELIZABETH
752,460-TERMINAL DE AUTOBUSES-ADUANA,ELIZABETH
753,533-PUENTE FRONTERIZO SUBTENIENTE LOPEZ II-CHACTEMAL,ELIZABETH
754,1229-BODEGA:PALACIO FEDERAL-ALR,ELIZABETH
755,146-PRINCIPAL-ADUANA,ELIZABETH
756,153-PRINCIPAL-ALAF,ELIZABETH
757,153-PRINCIPAL-ALJ,ELIZABETH
758,153-PRINCIPAL-ALR,ELIZABETH
759,153-PRINCIPAL-ALSC,ELIZABETH
760,153-PRINCIPAL-CERYS,ELIZABETH
761,153-PRINCIPAL-SLCTI,ELIZABETH
762,367-SECCION:AEROPUERTO TAMPICO_-ADUANA,ELIZABETH
763,470-RECINTO FISCALIZADO MUELLE 10 Y 11,ELIZABETH
764,244-PRINCIPAL-ALAF,LILI
765,244-PRINCIPAL-ALJ,LILI
766,244-PRINCIPAL-ALR,LILI
767,244-PRINCIPAL-ALSC,LILI
768,244-PRINCIPAL-CERYS,LILI
769,244-PRINCIPAL-SLCTI,LILI
770,491-BODEGA: ALMACEN DEL SAT TAPACHULA,LILI
771,277-PRINCIPAL-ALR,DAVID
772,277-PRINCIPAL-ALSC,DAVID
773,277-PRINCIPAL-SLCTI,DAVID
774,278-SUBSEDE:TLAXCALA ALJ,DAVID
775,278-SUBSEDE:TLAXCALA-CERYS,DAVID
776,279-SUBSEDE:TLAXCALA ALAF,DAVID
777,511-MODULO:APIZACO-ALR,DAVID
778,1235-SUBSEDE:NARANJOS-ALR,ALICIA
779,137-PRINCIPAL-ADUANA,ALICIA
780,155-PRINCIPAL-ALAF,ALICIA
781,155-PRINCIPAL-ALJ,ALICIA
782,155-PRINCIPAL-ALR,ALICIA
783,155-PRINCIPAL-ALSC,ALICIA
784,155-PRINCIPAL-CERYS,ALICIA
785,155-PRINCIPAL-SLCTI,ALICIA
786,157-SUBSEDE:POZA RICA-ALAF,ALICIA
787,157-SUBSEDE:POZA RICA-ALR,ALICIA
788,157-SUBSEDE:POZA RICA-ALSC,ALICIA
789,157-SUBSEDE:POZA RICA-CERYS,ALICIA
790,159-MODULO:MARTINEZ D LA TORRE MAF-MAF,ALICIA
791,159-MODULO:MARTINEZ D LA TORRE-ALAF,ALICIA
792,159-MODULO:MARTINEZ D LA TORRE-ALR,ALICIA
793,161-SUBSEDE:PANUCO-ALR,ALICIA
794,161-SUBSEDE:PANUCO-ALSC,ALICIA
795,2111-BODEGA:TUXPAN INDEPENDENCIA-CERYS,ALICIA
796,1017-SUBSEDE:COMITAN-ALR,LILI
797,1096-SUBSEDE:PICHUCALCO-ALR,LILI
798,1130-SUBSEDE:SAN CRISTOBAL DE LAS C-ALR,LILI
799,2112-BODEGA:TUXTLA GUTIERREZ 8VA-CERYS,LILI
800,243-PRINCIPAL-ALAF,LILI
801,243-PRINCIPAL-ALJ,LILI
802,243-PRINCIPAL-ALR,LILI
803,243-PRINCIPAL-ALSC,LILI
804,243-PRINCIPAL-CERYS,LILI
805,243-PRINCIPAL-SLCTI,LILI
806,1157-MODULO:VERACRUZ RAYON-ALSC,ALICIA
807,1157-MODULO:VERACRUZ RAYON-SLCTI,ALICIA
808,2022-SALA AEROPUERTO VERACRUZ-ADUANA,ALICIA
809,2023-F.F.C.C. EN MUELLE 4-ADUANA,ALICIA
810,2113-BODEGA:VERACRUZ AV.HIDALGO-CERYS,ALICIA
811,2115-BODEGA:VERACRUZ COLEG.MILITAR-CERYS,ALICIA
812,265-PRINCIPAL-ADUANA,ALICIA
813,269-PRINCIPAL-ALAF,ALICIA
814,269-PRINCIPAL-ALJ,ALICIA
815,269-PRINCIPAL-ALR,ALICIA
816,269-PRINCIPAL-ALSC,ALICIA
817,269-PRINCIPAL-ARACE DEL SUR,ALICIA
818,269-PRINCIPAL-ARE SUR,ALICIA
819,269-PRINCIPAL-CERYS,ALICIA
820,269-PRINCIPAL-SLCTI,ALICIA
821,271-SUBSEDE:VERACRUZ SLCTI,ALICIA
822,291-SECCION:AEROPUERTO VERACRUZ-ADUANA,ALICIA
823,363-MODULO:F.F.C.C. EN MUELLE 6-ADUANA,ALICIA
824,526-SUBSEDE:ALVARADO-ALSC,ALICIA
825,527-SUBSEDE:COSAMALOAPAN-ALSC,ALICIA
826,1106-MODULO:CARDENAS UD-ALR-MFS,DAVID
827,1149-MODULO:COMALCALCO UD-ALR-MFS,DAVID
828,1159-MODULO:CARDENAS-ALSC-MFS,DAVID
829,1249-MODULO:EMILIANO ZAPATA-ALSC-MFS,DAVID
830,2139-ALMACEN-CERYS,DAVID
831,237-PRINCIPAL-ALAF,DAVID
832,237-PRINCIPAL-ALJ,DAVID
833,237-PRINCIPAL-ALR,DAVID
834,237-PRINCIPAL-ALSC,DAVID
835,237-PRINCIPAL-CERYS,DAVID
836,237-PRINCIPAL-SLCTI,DAVID
